State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,season trim,season nombot,crop nombot,number randonnn
Karnataka,RAICHUR,2007,Rabi       ,Gram,58483,35870,Rabi,2,3,0.153852824
Assam,DARRANG,2001,Kharif     ,Niger seed,315,158,Kharif,1,3,0.708560715
Odisha,SAMBALPUR,2001,Whole Year ,Onion,480,3640,Whole Year,3,3,0.256238363
Karnataka,CHITRADURGA,2006,Summer     ,Ragi,1622,3454,Summer,3,3,0.176069251
Uttar Pradesh,BULANDSHAHR,2010,Rabi       ,Peas & beans (Pulses),666,776,Rabi,2,3,0.505988827
Meghalaya,EAST JAINTIA HILLS,2005,Rabi       ,Rapeseed &Mustard,65,61,Rabi,2,3,0.128163609
Assam,DARRANG,2001,Whole Year ,Arecanut,4800,3842,Whole Year,3,3,0.981618207
Rajasthan,UDAIPUR,2009,Kharif     ,Sesamum,2631,422,Kharif,1,3,0.708016789
Odisha,BARGARH,2012,Winter     ,Rapeseed &Mustard,799,275.7,Winter,3,3,0.368828856
Tamil Nadu,DINDIGUL,2013,Whole Year ,Black pepper,782,283,Whole Year,3,3,0.705013309
Nagaland,LONGLENG,2009,Kharif     ,Moong(Green Gram),40,30,Kharif,1,3,0.253948994
Maharashtra,YAVATMAL,2002,Kharif     ,Sesamum,5500,1300,Kharif,1,3,0.459166106
Bihar,VAISHALI,2012,Rabi       ,Rapeseed &Mustard,2948,5560,Rabi,2,3,0.917680407
Uttar Pradesh,MAINPURI,2005,Whole Year ,Banana,1,38,Whole Year,3,3,0.763909838
Himachal Pradesh,LAHUL AND SPITI,2010,Rabi       ,Peas & beans (Pulses),1768,9818,Rabi,2,3,0.84492208
Chhattisgarh,RAIPUR,2013,Kharif     ,Maize,218,411,Kharif,1,2,0.791699195
Uttar Pradesh,ALIGARH,2010,Kharif     ,Urad,885,597,Kharif,1,3,0.159757099
Maharashtra,NASHIK,2005,Kharif     ,Sesamum,300,100,Kharif,1,3,0.911733055
Karnataka,UTTAR KANNAD,2000,Whole Year ,Onion,75,441,Whole Year,3,3,0.455213154
Rajasthan,BARMER,2000,Kharif     ,Other Kharif pulses,2,1,Kharif,1,3,0.865129407
Karnataka,TUMKUR,1997,Rabi       ,Ragi,972,1286,Rabi,2,3,0.686462635
Arunachal Pradesh,WEST KAMENG,2013,Whole Year ,Oilseeds total,195,225,Whole Year,3,3,0.639938341
Uttar Pradesh,ALLAHABAD,2001,Kharif     ,Urad,1086,480,Kharif,1,3,0.096139145
Tamil Nadu,DHARMAPURI,2002,Whole Year ,Lab-Lab,48,0,Whole Year,3,3,0.170036109
Tamil Nadu,SIVAGANGA,2002,Whole Year ,Coconut ,5861,36100,Whole Year,3,3,0.487927532
West Bengal,MURSHIDABAD,2003,Rabi       ,Masoor,24609,19060,Rabi,2,3,0.023730143
Karnataka,MYSORE,2008,Whole Year ,Sugarcane,5588,637032,Whole Year,3,3,0.321482767
Madhya Pradesh,GUNA,1999,Rabi       ,Rapeseed &Mustard,4763,3318,Rabi,2,3,0.733129799
Uttar Pradesh,SANT RAVIDAS NAGAR,2014,Kharif     ,Dry ginger,2,9,Kharif,1,3,0.055879975
Uttar Pradesh,HARDOI,2013,Summer     ,Rice,96,242,Summer,3,1,0.797418909
Andhra Pradesh,GUNTUR,2012,Rabi       ,Tobacco,4598,14961,Rabi,2,3,0.168306055
Uttar Pradesh,ETAH,2006,Kharif     ,Groundnut,592,428,Kharif,1,3,0.456835974
Bihar,SAHARSA,2002,Whole Year ,Sugarcane,134,5776,Whole Year,3,3,0.284139095
Nagaland,KOHIMA,2014,Kharif     ,Oilseeds total,2990,3250,Kharif,1,3,0.317468987
Karnataka,BENGALURU URBAN,2005,Kharif     ,Rice,2496,6528,Kharif,1,1,0.060746213
Chhattisgarh,JANJGIR-CHAMPA,2011,Rabi       ,Gram,146,147,Rabi,2,3,0.821467615
Karnataka,HASSAN,2014,Rabi       ,Potato,10,154,Rabi,2,3,0.580867228
Uttar Pradesh,ETAH,2000,Rabi       ,Gram,5413,6252,Rabi,2,3,0.173603686
Karnataka,BELGAUM,2012,Summer     ,Rice,82,260,Summer,3,1,0.384467975
Madhya Pradesh,BHIND,2009,Whole Year ,Sugarcane,19,380,Whole Year,3,3,0.01371281
West Bengal,MEDINIPUR WEST,1998,Rabi       ,Wheat,14824,27980,Rabi,2,3,0.657612583
Jammu and Kashmir ,KATHUA,2001,Kharif     ,Urad,3821,1150,Kharif,1,3,0.081723123
Maharashtra,HINGOLI,2003,Kharif     ,Arhar/Tur,25500,22500,Kharif,1,3,0.813824483
West Bengal,PURULIA,2010,Rabi       ,Arhar/Tur,105,95,Rabi,2,3,0.588147833
Tamil Nadu,CUDDALORE,2006,Whole Year ,Coriander,782,317,Whole Year,3,3,0.043812868
Tamil Nadu,NAGAPATTINAM,2002,Kharif     ,Other Kharif pulses,10,0,Kharif,1,3,0.799342154
Odisha,BHADRAK,2012,Winter     ,Urad,711,267.3,Winter,3,3,0.597868948
Tamil Nadu,COIMBATORE,2003,Kharif     ,Arhar/Tur,342,209,Kharif,1,3,0.52127075
Maharashtra,GONDIA,2013,Rabi       ,Gram,5900,2900,Rabi,2,3,0.322170511
Karnataka,UTTAR KANNAD,2014,Rabi       ,Urad,362,165,Rabi,2,3,0.124546077
Assam,KARIMGANJ,2005,Rabi       ,Gram,2,1,Rabi,2,3,0.703444191
Karnataka,CHIKMAGALUR,2014,Whole Year ,Sugarcane,1391,132145,Whole Year,3,3,0.860810735
Uttar Pradesh,DEORIA,2000,Kharif     ,Maize,5529,8061,Kharif,1,2,0.6660003
Tamil Nadu,DINDIGUL,2006,Whole Year ,Gram,781,396,Whole Year,3,3,0.019266502
Gujarat,GANDHINAGAR,1998,Kharif     ,Arhar/Tur,200,200,Kharif,1,3,0.346133558
Gujarat,MAHESANA,2001,Kharif     ,Small millets,2100,700,Kharif,1,3,0.864870838
Chhattisgarh,BALRAMPUR,2014,Rabi       ,Moong(Green Gram),5,1,Rabi,2,3,0.783019272
Odisha,NAYAGARH,1999,Kharif     ,Mesta,60,190,Kharif,1,3,0.283846919
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Tobacco,66,107,Whole Year,3,3,0.131439069
Assam,NALBARI,2012,Whole Year ,Turmeric,425,412,Whole Year,3,3,0.054783272
West Bengal,24 PARAGANAS SOUTH,1999,Rabi       ,Dry chillies,15997,6399,Rabi,2,3,0.336823256
Bihar,ROHTAS,2000,Kharif     ,Ragi,65,71,Kharif,1,3,0.568603391
Madhya Pradesh,NARSINGHPUR,2006,Kharif     ,Rice,13605,14579,Kharif,1,1,0.497535372
Madhya Pradesh,PANNA,2006,Kharif     ,Arhar/Tur,4148,1620,Kharif,1,3,0.672701244
Uttar Pradesh,AGRA,2008,Rabi       ,Rapeseed &Mustard,66487,104392,Rabi,2,3,0.154160291
Karnataka,CHITRADURGA,2014,Summer     ,Cotton(lint),84,159,Summer,3,3,0.815964257
Haryana,PANIPAT,2011,Whole Year ,Sweet potato,5,,Whole Year,3,3,0.006217217
Gujarat,BHARUCH,2010,Kharif     ,Rice,11400,19200,Kharif,1,1,0.911476145
Uttar Pradesh,GORAKHPUR,2001,Kharif     ,Rice,155864,262873,Kharif,1,1,0.986068589
Gujarat,SURAT,2003,Kharif     ,Moong(Green Gram),1500,900,Kharif,1,3,0.588743581
Meghalaya,SOUTH WEST KHASI HILLS,2014,Rabi       ,Small millets,37,47,Rabi,2,3,0.746623381
Karnataka,CHITRADURGA,2001,Rabi       ,Rapeseed &Mustard,339,72,Rabi,2,3,0.365423155
Karnataka,BAGALKOT,1999,Kharif     ,Sunflower,26250,14837,Kharif,1,3,0.81088319
Jammu and Kashmir ,BARAMULLA,2001,Rabi       ,Rapeseed &Mustard,7446,2707,Rabi,2,3,0.798103327
Madhya Pradesh,REWA,2010,Whole Year ,Garlic,107,152,Whole Year,3,3,0.031973987
Tamil Nadu,COIMBATORE,1997,Whole Year ,Black pepper,131,30,Whole Year,3,3,0.112529882
Himachal Pradesh,MANDI,2010,Rabi       ,Garlic,375,402,Rabi,2,3,0.42335571
Uttar Pradesh,FATEHPUR,2010,Summer     ,Urad,461,419,Summer,3,3,0.678007912
Madhya Pradesh,BHOPAL,2002,Kharif     ,Maize,2662,4906,Kharif,1,2,0.662711016
Rajasthan,JAISALMER,2007,Kharif     ,Moth,360,113,Kharif,1,3,0.262539072
Bihar,PASHCHIM CHAMPARAN,1997,Kharif     ,Other Kharif pulses,30,15,Kharif,1,3,0.498789549
Chhattisgarh,KANKER,2012,Kharif     ,Small millets,14034,2709,Kharif,1,3,0.391880946
Punjab,HOSHIARPUR,1999,Whole Year ,Sugarcane,15000,900000,Whole Year,3,3,0.272971649
Karnataka,CHIKMAGALUR,2002,Whole Year ,Cashewnut Processed,299,34,Whole Year,3,3,0.297334964
Arunachal Pradesh,PAPUM PARE,2006,Rabi       ,Wheat,170,306,Rabi,2,3,0.133495551
Chhattisgarh,KANKER,2001,Rabi       ,Khesari,2052,1789,Rabi,2,3,0.870115824
Uttar Pradesh,KASGANJ,2012,Kharif     ,Urad,913,605,Kharif,1,3,0.163207287
Bihar,ARARIA,2000,Kharif     ,Jute,31452,302289,Kharif,1,3,0.247782177
Madhya Pradesh,SIDHI,1999,Rabi       ,Gram,37925,18369,Rabi,2,3,0.848184121
Haryana,YAMUNANAGAR,2005,Rabi       ,Sunflower,1333,2200,Rabi,2,3,0.542851134
Madhya Pradesh,SHAHDOL,2012,Kharif     ,Groundnut,191,168,Kharif,1,3,0.28390065
Uttar Pradesh,MORADABAD,1998,Rabi       ,Gram,121,107,Rabi,2,3,0.68938956
Maharashtra,WASHIM,1999,Kharif     ,Jowar,71600,96100,Kharif,1,3,0.4860584
Uttar Pradesh,KHERI,2005,Whole Year ,Garlic,133,579,Whole Year,3,3,0.37156747
Bihar,PURNIA,2007,Winter     ,Rice,83709,72722,Winter,3,1,0.014954024
Bihar,SAMASTIPUR,2005,Summer     ,Maize,5054,10500,Summer,3,2,0.825864152
Bihar,KATIHAR,1999,Whole Year ,Sweet potato,36,491,Whole Year,3,3,0.376876648
West Bengal,DARJEELING,2005,Rabi       ,Horse-gram,2,1,Rabi,2,3,0.066494265
Rajasthan,BUNDI,1999,Whole Year ,Sugarcane,6496,239301,Whole Year,3,3,0.229923017
Tamil Nadu,KANCHIPURAM,2006,Whole Year ,Sweet potato,1,17,Whole Year,3,3,0.174126823
Karnataka,BELLARY,2010,Whole Year ,Arecanut,103,1114,Whole Year,3,3,0.375409119
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Turmeric,7,23,Rabi,2,3,0.402861013
Himachal Pradesh,KINNAUR,2006,Whole Year ,Potato,143,1245,Whole Year,3,3,0.22009757
Tamil Nadu,CUDDALORE,2010,Kharif     ,Ragi,150,332,Kharif,1,3,0.267151754
Gujarat,GANDHINAGAR,2002,Kharif     ,Cotton(lint),3200,10700,Kharif,1,3,0.134390974
Tripura,DHALAI,2006,Kharif     ,Maize,589,629,Kharif,1,2,0.019812876
West Bengal,JALPAIGURI,2001,Whole Year ,Arecanut,2090,2268,Whole Year,3,3,0.437736319
Bihar,SUPAUL,2010,Kharif     ,Moong(Green Gram),1066,697,Kharif,1,3,0.55435546
Andhra Pradesh,SRIKAKULAM,2000,Whole Year ,Tobacco,44,103,Whole Year,3,3,0.25221116
Odisha,KALAHANDI,2010,Winter     ,Rapeseed &Mustard,747,142.7,Winter,3,3,0.895033591
Andhra Pradesh,CHITTOOR,2012,Kharif     ,Cabbage,106,1200,Kharif,1,3,0.780811033
Uttar Pradesh,ALLAHABAD,1999,Kharif     ,Soyabean,24,19,Kharif,1,3,0.284972266
Karnataka,UTTAR KANNAD,2006,Kharif     ,Soyabean,182,135,Kharif,1,3,0.448515997
Punjab,MOGA,2001,Rabi       ,Gram,500,600,Rabi,2,3,0.023589642
Bihar,ARARIA,2008,Kharif     ,Sweet potato,300,4071,Kharif,1,3,0.593680419
Uttar Pradesh,MEERUT,2008,Kharif     ,Rice,17372,39938,Kharif,1,1,0.527408317
Madhya Pradesh,ALIRAJPUR,2010,Kharif     ,Castor seed,542,235,Kharif,1,3,0.27029561
Assam,BAKSA,2006,Whole Year ,Arecanut,4136,3174,Whole Year,3,3,0.11075796
West Bengal,BANKURA,2005,Kharif     ,Jute,3,54,Kharif,1,3,0.852805545
Arunachal Pradesh,PAPUM PARE,1998,Kharif     ,Soyabean,253,280,Kharif,1,3,0.096479463
Karnataka,TUMKUR,2014,Summer     ,Dry chillies,23,44,Summer,3,3,0.274382463
Arunachal Pradesh,DIBANG VALLEY,2003,Whole Year ,Pulses total,80,76,Whole Year,3,3,0.052015485
Uttar Pradesh,LUCKNOW,1997,Rabi       ,Masoor,760,653,Rabi,2,3,0.745091851
Rajasthan,GANGANAGAR,1999,Whole Year ,Coriander,6,3,Whole Year,3,3,0.803062789
Bihar,KHAGARIA,2009,Kharif     ,Arhar/Tur,173,304,Kharif,1,3,0.596328894
Madhya Pradesh,DEWAS,2000,Kharif     ,Sunflower,34,10,Kharif,1,3,0.184882188
Uttar Pradesh,AMROHA,1997,Kharif     ,Arhar/Tur,355,244,Kharif,1,3,0.811725333
Maharashtra,OSMANABAD,2014,Kharif     ,Soyabean,133500,65600,Kharif,1,3,0.271122009
Meghalaya,SOUTH GARO HILLS,2000,Whole Year ,Sweet potato,120,394,Whole Year,3,3,0.012453842
Rajasthan,BARAN,2002,Whole Year ,Other Vegetables,1036,0,Whole Year,3,3,0.114630063
Gujarat,SURAT,1998,Kharif     ,Other Kharif pulses,900,300,Kharif,1,3,0.224562023
Chhattisgarh,BILASPUR,2007,Whole Year ,Coriander,566,144,Whole Year,3,3,0.096169942
Tamil Nadu,SIVAGANGA,2008,Whole Year ,Tapioca,3,109,Whole Year,3,3,0.752036805
Odisha,KANDHAMAL,1998,Winter     ,Sugarcane,25,580,Winter,3,3,0.455440469
Maharashtra,DHULE,2007,Kharif     ,Urad,123,77,Kharif,1,3,0.640295795
Gujarat,SURAT,1997,Rabi       ,Wheat,5300,8200,Rabi,2,3,0.422301023
Madhya Pradesh,DINDORI,2001,Kharif     ,Jowar,100,101,Kharif,1,3,0.473616051
Goa,SOUTH GOA,2011,Kharif     ,Ragi,124,112,Kharif,1,3,0.013428199
Chhattisgarh,BILASPUR,2004,Kharif     ,Soyabean,851,897,Kharif,1,3,0.021833428
Sikkim,SOUTH DISTRICT,2004,Rabi       ,Wheat,1500,2070,Rabi,2,3,0.915139215
Odisha,BALANGIR,2009,Winter     ,Urad,3249,623.8,Winter,3,3,0.756660257
Uttar Pradesh,LUCKNOW,2013,Kharif     ,Arhar/Tur,812,596,Kharif,1,3,0.295631978
Maharashtra,NANDED,2008,Kharif     ,Niger seed,1300,200,Kharif,1,3,0.110304599
Haryana,JIND,2011,Whole Year ,Sugarcane,2949,22000,Whole Year,3,3,0.61513184
Uttar Pradesh,MAHOBA,2003,Whole Year ,Sannhamp,307,92,Whole Year,3,3,0.819199103
Haryana,SONIPAT,2009,Rabi       ,Gram,34,,Rabi,2,3,0.420612606
Tamil Nadu,KRISHNAGIRI,2009,Whole Year ,Tapioca,1293,44567,Whole Year,3,3,0.195072887
Uttar Pradesh,FIROZABAD,1997,Summer     ,Moong(Green Gram),4077,1425,Summer,3,3,0.145098136
Andhra Pradesh,GUNTUR,2000,Kharif     ,Moong(Green Gram),20785,14612,Kharif,1,3,0.225613311
Gujarat,NAVSARI,2012,Kharif     ,Ragi,100,100,Kharif,1,3,0.05265281
Bihar,BUXAR,2004,Kharif     ,Urad,216,160,Kharif,1,3,0.304376302
Tamil Nadu,DHARMAPURI,1997,Whole Year ,Small millets,1530,60,Whole Year,3,3,0.894038868
Uttar Pradesh,HATHRAS,2001,Whole Year ,Potato,13241,419660,Whole Year,3,3,0.869061257
Rajasthan,KARAULI,2002,Whole Year ,Coriander,19,10,Whole Year,3,3,0.43127919
Uttar Pradesh,BASTI,2004,Rabi       ,Maize,5,23,Rabi,2,2,0.110974644
Uttar Pradesh,BALRAMPUR,2003,Summer     ,Moong(Green Gram),2,1,Summer,3,3,0.154745779
West Bengal,NADIA,1998,Kharif     ,Maize,45,140,Kharif,1,2,0.078917229
Gujarat,DOHAD,2004,Summer     ,Bajra,100,100,Summer,3,3,0.346764841
Madhya Pradesh,SIDHI,2001,Whole Year ,Potato,1583,16827,Whole Year,3,3,0.046060475
Nagaland,TUENSANG,2013,Rabi       ,Barley,30,30,Rabi,2,3,0.511873291
Uttar Pradesh,BUDAUN,2010,Summer     ,Sunflower,2,4,Summer,3,3,0.067402723
Uttar Pradesh,LUCKNOW,2013,Kharif     ,Groundnut,55,48,Kharif,1,3,0.613873325
Assam,DIMA HASAO,2003,Rabi       ,Linseed,4,2,Rabi,2,3,0.808864042
Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Groundnut,1091,2042,Kharif,1,3,0.967589469
Punjab,SANGRUR,2006,Rabi       ,Rapeseed &Mustard,2000,3000,Rabi,2,3,0.06130079
Bihar,SHEIKHPURA,2012,Autumn     ,Maize,251,569,Autumn,3,2,0.138081273
Tamil Nadu,KRISHNAGIRI,2010,Kharif     ,Urad,508,265,Kharif,1,3,0.601225476
Odisha,KHORDHA,2001,Kharif     ,Arhar/Tur,660,360,Kharif,1,3,0.323080652
Tamil Nadu,CUDDALORE,2007,Whole Year ,Arecanut,1,2,Whole Year,3,3,0.903024348
Nagaland,MOKOKCHUNG,2005,Rabi       ,Other  Rabi pulses,800,930,Rabi,2,3,0.771844561
Odisha,CUTTACK,1999,Rabi       ,Gram,610,370,Rabi,2,3,0.897818526
Assam,BONGAIGAON,2011,Rabi       ,Gram,23,15,Rabi,2,3,0.267991627
Maharashtra,RATNAGIRI,2014,Rabi       ,Other  Rabi pulses,3500,2400,Rabi,2,3,0.030556356
Rajasthan,KARAULI,2001,Kharif     ,Cotton(lint),2,0,Kharif,1,3,0.568110611
Odisha,BOUDH,2000,Kharif     ,Maize,541,422,Kharif,1,2,0.716774998
Gujarat,SURENDRANAGAR,1997,Rabi       ,Gram,6300,3000,Rabi,2,3,0.894737322
Tamil Nadu,NAMAKKAL,2008,Whole Year ,Black pepper,193,36,Whole Year,3,3,0.764667252
Tamil Nadu,KANNIYAKUMARI,2004,Kharif     ,Urad,2067,758,Kharif,1,3,0.346588325
Andhra Pradesh,KADAPA,2012,Kharif     ,Jowar,3065,7273,Kharif,1,3,0.827385395
Maharashtra,NANDED,2009,Kharif     ,Maize,600,700,Kharif,1,2,0.598598546
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Tobacco,115,178,Rabi,2,3,0.024440124
Kerala,ERNAKULAM,2003,Whole Year ,Tapioca,5642,163782,Whole Year,3,3,0.323019912
Tamil Nadu,VELLORE,2003,Whole Year ,Pump Kin,23,0,Whole Year,3,3,0.891440538
West Bengal,PURULIA,2008,Winter     ,Sesamum,261,105,Winter,3,3,0.776008566
West Bengal,MEDINIPUR WEST,2001,Rabi       ,Horse-gram,885,531,Rabi,2,3,0.720927455
Rajasthan,BANSWARA,2007,Whole Year ,Garlic,1,,Whole Year,3,3,0.56752221
Maharashtra,AURANGABAD,2000,Kharif     ,Castor seed,1900,500,Kharif,1,3,0.078480085
Gujarat,SABAR KANTHA,2002,Whole Year ,Onion,100,3800,Whole Year,3,3,0.330583386
Bihar,SARAN,2005,Whole Year ,Potato,4610,47006,Whole Year,3,3,0.474714858
Chhattisgarh,KORBA,2013,Kharif     ,Small millets,1743,432,Kharif,1,3,0.998453419
Uttar Pradesh,KASGANJ,2011,Rabi       ,Peas & beans (Pulses),26,37,Rabi,2,3,0.691364911
Uttar Pradesh,HAMIRPUR,2011,Kharif     ,Maize,6,7,Kharif,1,2,0.935258194
Bihar,MADHEPURA,2013,Kharif     ,Castor seed,4,4,Kharif,1,3,0.444448979
Uttar Pradesh,FIROZABAD,2012,Kharif     ,Bajra,63325,143635,Kharif,1,3,0.713501788
Uttar Pradesh,BARABANKI,2004,Whole Year ,Banana,3,109,Whole Year,3,3,0.970140401
Meghalaya,EAST JAINTIA HILLS,2011,Rabi       ,Rapeseed &Mustard,65,36,Rabi,2,3,0.991320372
Assam,TINSUKIA,2011,Autumn     ,Paddy,6202,11704,Autumn,3,3,0.246566773
Andhra Pradesh,EAST GODAVARI,2004,Rabi       ,Maize,6094,41080,Rabi,2,2,0.997790917
Uttar Pradesh,BULANDSHAHR,2001,Kharif     ,Jowar,381,329,Kharif,1,3,0.896322809
Uttar Pradesh,SANT KABEER NAGAR,2005,Whole Year ,Banana,172,6554,Whole Year,3,3,0.976889176
Bihar,BHAGALPUR,2008,Whole Year ,Dry chillies,8,11,Whole Year,3,3,0.625771743
Uttar Pradesh,AGRA,2012,Rabi       ,Masoor,635,1250,Rabi,2,3,0.638742369
Tamil Nadu,PERAMBALUR,2011,Kharif     ,Groundnut,666,1243,Kharif,1,3,0.187313969
Haryana,JIND,2008,Kharif     ,Moth,2,,Kharif,1,3,0.405867693
Uttar Pradesh,AMROHA,2013,Kharif     ,Dry chillies,39,31,Kharif,1,3,0.657433265
Telangana ,MEDAK,2003,Whole Year ,Other Vegetables,3157,0,Whole Year,3,3,0.541038949
Maharashtra,AMRAVATI,2007,Kharif     ,Maize,17,54,Kharif,1,2,0.048174331
Madhya Pradesh,TIKAMGARH,2001,Whole Year ,Banana,12,76,Whole Year,3,3,0.394640869
Assam,LAKHIMPUR,2006,Kharif     ,Small millets,35,20,Kharif,1,3,0.021040508
Karnataka,CHAMARAJANAGAR,2005,Rabi       ,Groundnut,104,92,Rabi,2,3,0.092343747
Rajasthan,SIKAR,2003,Kharif     ,Other Kharif pulses,51529,29336,Kharif,1,3,0.749776911
Himachal Pradesh,SHIMLA,1998,Rabi       ,Barley,5234,5075,Rabi,2,3,0.328384062
Odisha,MAYURBHANJ,2005,Winter     ,Rapeseed &Mustard,503,104.1,Winter,3,3,0.264646562
Chhattisgarh,DURG,2014,Whole Year ,Turmeric,53,62,Whole Year,3,3,0.83524134
Rajasthan,UDAIPUR,1997,Rabi       ,Barley,10600,22100,Rabi,2,3,0.445782624
Gujarat,PANCH MAHALS,2012,Kharif     ,Arhar/Tur,19200,36800,Kharif,1,3,0.673563128
Uttar Pradesh,MAINPURI,2010,Rabi       ,Rapeseed &Mustard,7054,10823,Rabi,2,3,0.83285987
Rajasthan,NAGAUR,2000,Kharif     ,Castor seed,1441,1247,Kharif,1,3,0.278842793
Odisha,MALKANGIRI,2015,Autumn     ,Rice,10000,9000,Autumn,3,1,0.097461035
Chhattisgarh,DHAMTARI,2002,Whole Year ,Dry ginger,5,6,Whole Year,3,3,0.247133002
Meghalaya,NORTH GARO HILLS,2013,Kharif     ,Jute,402,4507,Kharif,1,3,0.099444872
Madhya Pradesh,VIDISHA,2009,Kharif     ,Jowar,1031,1808,Kharif,1,3,0.163999522
Uttar Pradesh,KANNAUJ,2008,Kharif     ,Guar seed,2,1,Kharif,1,3,0.200823636
Maharashtra,NAGPUR,2005,Kharif     ,Arhar/Tur,52100,36400,Kharif,1,3,0.962677944
Meghalaya,WEST KHASI HILLS,2008,Whole Year ,Potato,5460,45114,Whole Year,3,3,0.356805576
Uttar Pradesh,SHAHJAHANPUR,1999,Summer     ,Urad,286,139,Summer,3,3,0.498924153
Telangana ,KARIMNAGAR,2014,Kharif     ,Jowar,4,4,Kharif,1,3,0.740716589
Madhya Pradesh,RATLAM,2008,Rabi       ,Linseed,987,1171,Rabi,2,3,0.913872003
Karnataka,GADAG,2000,Kharif     ,Other Kharif pulses,1386,390,Kharif,1,3,0.372959905
Madhya Pradesh,SATNA,1998,Kharif     ,Jowar,5300,5100,Kharif,1,3,0.077440489
Madhya Pradesh,KHARGONE,2008,Kharif     ,Maize,20262,21347,Kharif,1,2,0.704442988
Bihar,NALANDA,2008,Whole Year ,Onion,1216,23517,Whole Year,3,3,0.492004091
Karnataka,BANGALORE RURAL,2010,Whole Year ,Sweet potato,5,41,Whole Year,3,3,0.304379508
Bihar,BHOJPUR,2010,Autumn     ,Rice,482,431,Autumn,3,1,0.226631621
Uttarakhand,DEHRADUN,2004,Rabi       ,Wheat,23608,46131,Rabi,2,3,0.301318488
Telangana ,KHAMMAM,2001,Kharif     ,Castor seed,5,1,Kharif,1,3,0.777479003
Haryana,JIND,2012,Rabi       ,Wheat,215979,922000,Rabi,2,3,0.286837103
Gujarat,ANAND,2008,Whole Year ,Banana,8000,609300,Whole Year,3,3,0.008505315
Madhya Pradesh,RAISEN,2008,Whole Year ,Onion,395,4652,Whole Year,3,3,0.476544593
West Bengal,COOCHBEHAR,2003,Summer     ,Groundnut,170,136,Summer,3,3,0.207855721
Telangana ,KHAMMAM,2000,Rabi       ,Other  Rabi pulses,4978,2269,Rabi,2,3,0.238763165
Rajasthan,NAGAUR,1997,Kharif     ,Castor seed,100,100,Kharif,1,3,0.272765738
Uttar Pradesh,PRATAPGARH,2011,Summer     ,Onion,354,3835,Summer,3,3,0.623754144
Gujarat,VADODARA,2005,Whole Year ,Tobacco,14200,17400,Whole Year,3,3,0.46575257
Andhra Pradesh,PRAKASAM,2004,Rabi       ,Bajra,148,176,Rabi,2,3,0.570666795
Karnataka,BENGALURU URBAN,2003,Kharif     ,Other Kharif pulses,4421,754,Kharif,1,3,0.619399321
Andhra Pradesh,SPSR NELLORE,2001,Rabi       ,Gram,930,1743,Rabi,2,3,0.9967613
Gujarat,BHAVNAGAR,1997,Rabi       ,Jowar,1900,1600,Rabi,2,3,0.573188267
Nagaland,ZUNHEBOTO,2010,Rabi       ,Barley,50,90,Rabi,2,3,0.823228048
Bihar,ROHTAS,1997,Whole Year ,Coriander,47,24,Whole Year,3,3,0.31777521
Karnataka,DHARWAD,2003,Rabi       ,Other  Rabi pulses,240,33,Rabi,2,3,0.660873274
Karnataka,GADAG,2000,Whole Year ,Garlic,78,45,Whole Year,3,3,0.730485003
Madhya Pradesh,ALIRAJPUR,2011,Whole Year ,Coriander,21,9,Whole Year,3,3,0.199231853
Bihar,KAIMUR (BHABUA),1998,Kharif     ,Sunflower,7,6,Kharif,1,3,0.579532686
Haryana,MAHENDRAGARH,2007,Rabi       ,Rapeseed &Mustard,86840,93000,Rabi,2,3,0.727553576
Rajasthan,DUNGARPUR,1999,Whole Year ,Guar seed,1373,547,Whole Year,3,3,0.950261482
Madhya Pradesh,SAGAR,2010,Rabi       ,Cowpea(Lobia),3,1,Rabi,2,3,0.439120703
Assam,KARIMGANJ,2011,Rabi       ,Linseed,25,12,Rabi,2,3,0.044372061
Haryana,PANIPAT,2004,Kharif     ,Urad,5,,Kharif,1,3,0.544130582
Rajasthan,KARAULI,2008,Whole Year ,Potato,31,126,Whole Year,3,3,0.787773882
Tamil Nadu,MADURAI,2011,Rabi       ,Maize,889,5911,Rabi,2,2,0.63536391
Telangana ,NALGONDA,2002,Whole Year ,Citrus Fruit,2693,12084,Whole Year,3,3,0.689266335
Manipur,UKHRUL,2006,Kharif     ,Dry ginger,70,110,Kharif,1,3,0.822487079
Gujarat,SABAR KANTHA,2008,Summer     ,Bajra,8600,21500,Summer,3,3,0.315404376
Karnataka,BELGAUM,2014,Kharif     ,Potato,3616,34345,Kharif,1,3,0.897195575
Tamil Nadu,SALEM,1999,Whole Year ,Black pepper,64,12,Whole Year,3,3,0.193536968
Himachal Pradesh,SIRMAUR,1998,Rabi       ,Coriander,97,31,Rabi,2,3,0.556875931
Uttar Pradesh,BASTI,2007,Kharif     ,Groundnut,2,1,Kharif,1,3,0.246561208
Bihar,SAMASTIPUR,2013,Kharif     ,Ragi,9,11,Kharif,1,3,0.063832072
Karnataka,DHARWAD,2009,Kharif     ,Moong(Green Gram),28530,7806,Kharif,1,3,0.022533119
Maharashtra,BHANDARA,1998,Rabi       ,Gram,9400,4400,Rabi,2,3,0.262552741
