CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT,RANDOM,crop type1,soil type1,weather condition1,region1
ONION,WET,DESERT,20-30,SUNNY,5,0.830842092,4,2,4,4
ONION,HUMID,SEMI ARID,30-40,WINDY,0.2,0.145448399,4,3,2,3
POTATO,HUMID,SEMI ARID,20-30,WINDY,7.62,0.033825142,12,3,2,3
ONION,HUMID,HUMID,40-50,WINDY,4.75,0.101808763,4,3,2,1
TOMATO,HUMID,SEMI ARID,30-40,NORMAL,6.14,0.037671356,1,3,1,3
SOYABEAN,WET,SEMI HUMID,20-30,RAINY,0.1,0.030591571,3,2,3,2
CITRUS,HUMID,SEMI HUMID,40-50,WINDY,7,0.0697323,6,3,2,2
MUSTARD,HUMID,DESERT,13-20,NORMAL,4.68,0.318937804,11,3,1,4
SOYABEAN,WET,HUMID,20-30,SUNNY,4.1,0.099329636,3,2,4,1
SUGARCANE,WET,DESERT,20-30,NORMAL,7.2,0.862727511,10,2,1,4
BEAN,WET,SEMI HUMID,20-30,SUNNY,5.1,0.289272299,15,2,4,2
SUGARCANE,WET,SEMI ARID,20-30,RAINY,0.5,0.044417868,10,2,3,3
MELON,HUMID,SEMI ARID,13-20,WINDY,5.14,0.487397445,2,3,2,3
MUSTARD,DRY,SEMI HUMID,13-20,SUNNY,6.36,0.284756796,11,1,4,2
BEAN,HUMID,SEMI ARID,40-50,SUNNY,9.4,0.95233759,15,3,4,3
RICE,DRY,SEMI ARID,40-50,SUNNY,20,0.026144343,9,1,4,3
SUGARCANE,DRY,HUMID,13-20,RAINY,0.5,0.532217142,10,1,3,1
WHEAT,DRY,DESERT,20-30,RAINY,3.5,0.994795261,8,1,3,4
RICE,DRY,HUMID,13-20,NORMAL,11,0.445387324,9,1,1,1
BANANA,HUMID,SEMI ARID,30-40,NORMAL,7.92,0.329235219,13,3,1,3
SUGARCANE,DRY,DESERT,30-40,SUNNY,14,0.443190536,10,1,4,4
TOMATO,DRY,SEMI ARID,40-50,RAINY,0.58,0.558954435,1,1,3,3
MELON,DRY,SEMI HUMID,30-40,RAINY,0.5,0.426408085,2,1,3,2
TOMATO,WET,SEMI HUMID,13-20,NORMAL,2.34,0.199208528,1,2,1,2
WHEAT,DRY,SEMI HUMID,30-40,SUNNY,11.9,0.074107568,8,1,4,2
MUSTARD,HUMID,SEMI ARID,13-20,WINDY,5.14,0.314815316,11,3,2,3
COTTON,DRY,HUMID,40-50,RAINY,0.65,0.012998056,5,1,3,1
WHEAT,WET,SEMI HUMID,30-40,WINDY,7.06,0.698303903,8,2,2,2
SOYABEAN,DRY,DESERT,13-20,NORMAL,6.97,0.302784934,3,1,1,4
BANANA,WET,HUMID,30-40,RAINY,0.1,0.16010183,13,2,3,1
BANANA,DRY,SEMI HUMID,20-30,RAINY,0.5,0.004701064,13,1,3,2
MELON,DRY,SEMI HUMID,30-40,NORMAL,6.86,0.217915712,2,1,1,2
CITRUS,DRY,SEMI HUMID,13-20,RAINY,0.2,0.016586622,6,1,3,2
CABBAGE,DRY,SEMI HUMID,20-30,SUNNY,6.8,0.50322609,14,1,4,2
SUGARCANE,DRY,SEMI HUMID,40-50,RAINY,3.3,0.542597046,10,1,3,2
MAIZE,DRY,DESERT,40-50,NORMAL,9.12,0.75798821,7,1,1,4
BANANA,HUMID,HUMID,20-30,SUNNY,6.15,0.379916319,13,3,4,1
MUSTARD,WET,HUMID,40-50,WINDY,5.5,0.585808773,11,2,2,1
MAIZE,HUMID,SEMI ARID,40-50,RAINY,0.8,0.870085132,7,3,3,3
BANANA,HUMID,SEMI ARID,40-50,NORMAL,8.92,0.409071882,13,3,1,3
MAIZE,DRY,HUMID,30-40,SUNNY,7.46,0.346349731,7,1,4,1
RICE,WET,SEMI HUMID,13-20,WINDY,7.5,0.694764288,9,2,2,2
SUGARCANE,DRY,HUMID,20-30,RAINY,0.8,0.369488925,10,1,3,1
ONION,DRY,HUMID,40-50,WINDY,5.75,0.537015775,4,1,2,1
MAIZE,WET,SEMI HUMID,13-20,WINDY,3.34,0.550963026,7,2,2,2
CABBAGE,HUMID,SEMI ARID,40-50,RAINY,0.5,0.599466448,14,3,3,3
BANANA,DRY,SEMI HUMID,40-50,RAINY,1.9,0.844731306,13,1,3,2
BEAN,WET,DESERT,13-20,SUNNY,5.6,0.640381894,15,2,4,4
CITRUS,HUMID,HUMID,13-20,SUNNY,3.8,0.81906229,6,3,4,1
CITRUS,DRY,SEMI ARID,20-30,SUNNY,7.5,0.448641397,6,1,4,3
MELON,DRY,HUMID,30-40,SUNNY,7.46,0.02834604,2,1,4,1
TOMATO,HUMID,SEMI ARID,40-50,RAINY,0.8,0.516084849,1,3,3,3
COTTON,WET,SEMI HUMID,30-40,WINDY,6.5,0.262727346,5,2,2,2
CABBAGE,HUMID,HUMID,40-50,NORMAL,5.33,0.263847602,14,3,1,1
SOYABEAN,WET,DESERT,30-40,WINDY,7.2,0.583138729,3,2,2,4
POTATO,WET,DESERT,40-50,NORMAL,8.15,0.178901124,12,2,1,4
CITRUS,WET,SEMI ARID,13-20,SUNNY,4.33,0.144623251,6,2,4,3
CABBAGE,DRY,SEMI ARID,20-30,SUNNY,7.5,0.56240688,14,1,4,3
MELON,WET,HUMID,13-20,SUNNY,3,0.166808345,2,2,4,1
TOMATO,WET,SEMI ARID,13-20,WINDY,4.06,0.07621487,1,2,2,3
SUGARCANE,DRY,HUMID,20-30,SUNNY,9.32,0.144032032,10,1,4,1
RICE,WET,HUMID,40-50,NORMAL,7,0.364737885,9,2,1,1
ONION,WET,SEMI ARID,20-30,WINDY,0.1,0.280736302,4,2,2,3
MAIZE,DRY,SEMI ARID,13-20,WINDY,6.58,0.508574986,7,1,2,3
BEAN,DRY,HUMID,40-50,RAINY,0.8,0.758850117,15,1,3,1
SUGARCANE,WET,SEMI HUMID,40-50,SUNNY,8.56,0.407334384,10,2,4,2
POTATO,DRY,HUMID,40-50,RAINY,0.5,0.839757248,12,1,3,1
ONION,HUMID,HUMID,20-30,SUNNY,0.1,0.887508038,4,3,4,1
SOYABEAN,HUMID,SEMI HUMID,20-30,WINDY,5.9,0.475510203,3,3,2,2
BEAN,HUMID,SEMI HUMID,13-20,SUNNY,5.4,0.406177716,15,3,4,2
MELON,DRY,DESERT,30-40,RAINY,0.12,0.914091447,2,1,3,4
BEAN,HUMID,SEMI ARID,20-30,SUNNY,7.3,0.065706793,15,3,4,3
BEAN,WET,DESERT,20-30,WINDY,6.1,0.441798525,15,2,2,4
SOYABEAN,WET,HUMID,20-30,WINDY,3.6,0.71277713,3,2,2,1
TOMATO,WET,DESERT,20-30,WINDY,5.6,0.417829939,1,2,2,4
SUGARCANE,WET,SEMI ARID,20-30,NORMAL,6.25,0.076737697,10,2,1,3
CABBAGE,DRY,HUMID,13-20,RAINY,0.1,0.966775253,14,1,3,1
ONION,WET,SEMI HUMID,20-30,NORMAL,4.125,0.161966658,4,2,1,2
POTATO,DRY,HUMID,20-30,RAINY,0.5,0.754042842,12,1,3,1
TOMATO,HUMID,SEMI HUMID,20-30,NORMAL,4.42,0.396223089,1,3,1,2
WHEAT,HUMID,DESERT,30-40,WINDY,11.25,0.582791765,8,3,2,4
MUSTARD,DRY,DESERT,13-20,WINDY,7.12,0.046335755,11,1,2,4
SOYABEAN,DRY,SEMI ARID,40-50,WINDY,11.8,0.202608876,3,1,2,3
ONION,WET,HUMID,20-30,WINDY,3.625,0.680861619,4,2,2,1
RICE,WET,DESERT,13-20,SUNNY,11.5,0.905776485,9,2,4,4
MELON,HUMID,HUMID,30-40,SUNNY,6.02,0.265471216,2,3,4,1
BEAN,HUMID,DESERT,40-50,RAINY,0.34,0.076494297,15,3,3,4
POTATO,WET,HUMID,13-20,WINDY,3.06,0.606264198,12,2,2,1
POTATO,HUMID,HUMID,20-30,SUNNY,6.15,0.189980301,12,3,4,1
ONION,HUMID,HUMID,13-20,SUNNY,0.1,0.240722814,4,3,4,1
MAIZE,WET,HUMID,13-20,NORMAL,1.44,0.194443355,7,2,1,1
WHEAT,HUMID,SEMI HUMID,30-40,WINDY,8.9,0.828125666,8,3,2,2
CITRUS,WET,HUMID,40-50,NORMAL,4.33,0.575700451,6,2,1,1
MELON,WET,DESERT,40-50,NORMAL,6.6,0.87957059,2,2,1,4
COTTON,WET,SEMI ARID,13-20,WINDY,5.3,0.597059649,5,2,2,3
WHEAT,WET,DESERT,20-30,RAINY,0.8,0.249626508,8,2,3,4
COTTON,HUMID,DESERT,30-40,SUNNY,10.2,0.001414711,5,3,4,4
MELON,HUMID,DESERT,20-30,RAINY,0.3,0.748327394,2,3,3,4
BANANA,DRY,SEMI ARID,13-20,WINDY,8.8,0.064735405,13,1,2,3
COTTON,HUMID,DESERT,13-20,RAINY,0.6,0.449879367,5,3,3,4
MELON,DRY,SEMI ARID,20-30,NORMAL,6.58,0.421865536,2,1,1,3
CABBAGE,HUMID,HUMID,40-50,SUNNY,6.8,0.376586019,14,3,4,1
TOMATO,WET,SEMI HUMID,13-20,RAINY,0.1,0.30732849,1,2,3,2
COTTON,DRY,DESERT,13-20,SUNNY,10.25,0.434068234,5,1,4,4
SOYABEAN,DRY,HUMID,40-50,SUNNY,9.3,0.536161176,3,1,4,1
MELON,DRY,SEMI HUMID,20-30,NORMAL,5.86,0.485175092,2,1,1,2
TOMATO,DRY,DESERT,30-40,WINDY,9.12,0.542343426,1,1,2,4
CITRUS,HUMID,DESERT,30-40,SUNNY,7.7,0.259501884,6,3,4,4
TOMATO,HUMID,DESERT,13-20,NORMAL,4.68,0.791708361,1,3,1,4
SUGARCANE,HUMID,HUMID,30-40,RAINY,0.5,0.018829494,10,3,3,1
COTTON,WET,SEMI ARID,30-40,SUNNY,7.8,0.066982006,5,2,4,3
RICE,WET,SEMI ARID,20-30,RAINY,1.5,0.876476549,9,2,3,3
RICE,HUMID,HUMID,30-40,NORMAL,9,0.768325918,9,3,1,1
WHEAT,WET,SEMI ARID,13-20,RAINY,0.3,0.385755672,8,2,3,3
SUGARCANE,DRY,SEMI ARID,13-20,RAINY,1.6,0.980067518,10,1,3,3
BANANA,HUMID,DESERT,13-20,RAINY,0.6,0.83508901,13,3,3,4
BEAN,DRY,SEMI HUMID,20-30,NORMAL,6.5,0.71913252,15,1,1,2
RICE,HUMID,DESERT,40-50,RAINY,8,0.637044765,9,3,3,4
CABBAGE,WET,HUMID,13-20,SUNNY,2.83,0.144520351,14,2,4,1
WHEAT,WET,SEMI ARID,20-30,NORMAL,6.25,0.791581483,8,2,1,3
POTATO,WET,SEMI ARID,40-50,WINDY,8.2,0.816031718,12,2,2,3
SUGARCANE,HUMID,HUMID,20-30,NORMAL,5.3,0.272228508,10,3,1,1
MELON,DRY,DESERT,40-50,RAINY,1.12,0.302535283,2,1,3,4
POTATO,HUMID,SEMI ARID,13-20,NORMAL,5.62,0.04066873,12,3,1,3
WHEAT,DRY,SEMI HUMID,13-20,RAINY,0.4,0.99289812,8,1,3,2
CITRUS,WET,DESERT,30-40,RAINY,0.3,0.180269368,6,2,3,4
MUSTARD,DRY,DESERT,30-40,SUNNY,9.62,0.143304765,11,1,4,4
MUSTARD,DRY,SEMI ARID,13-20,SUNNY,7.08,0.008324527,11,1,4,3
COTTON,DRY,HUMID,40-50,SUNNY,10.15,0.227916038,5,1,4,1
WHEAT,DRY,HUMID,13-20,NORMAL,6.9,0.110345549,8,1,1,1
POTATO,HUMID,HUMID,30-40,WINDY,6,0.797118829,12,3,2,1
TOMATO,WET,DESERT,20-30,NORMAL,4.6,0.139422742,1,2,1,4
ONION,HUMID,SEMI HUMID,40-50,SUNNY,0.3,0.512081334,4,3,4,2
BEAN,WET,DESERT,40-50,SUNNY,8.8,0.306412193,15,2,4,4
WHEAT,DRY,DESERT,30-40,SUNNY,14,0.190844818,8,1,4,4
BEAN,HUMID,HUMID,30-40,RAINY,0.5,0.309054987,15,3,3,1
MUSTARD,DRY,SEMI ARID,20-30,WINDY,7.58,0.030604142,11,1,2,3
MAIZE,HUMID,SEMI HUMID,40-50,WINDY,7.42,0.083952835,7,3,2,2
SOYABEAN,WET,SEMI ARID,13-20,WINDY,4.5,0.516041195,3,2,2,3
BEAN,HUMID,SEMI HUMID,30-40,SUNNY,7.3,0.04192059,15,3,4,2
POTATO,HUMID,SEMI HUMID,30-40,SUNNY,8,0.804770009,12,3,4,2
MUSTARD,HUMID,DESERT,20-30,NORMAL,5.68,0.589136841,11,3,1,4
BANANA,WET,SEMI ARID,20-30,RAINY,0.2,0.449364763,13,2,3,3
CITRUS,DRY,DESERT,13-20,RAINY,0.2,0.881700667,6,1,3,4
SOYABEAN,DRY,HUMID,30-40,RAINY,0.2,0.524282115,3,1,3,1
BANANA,HUMID,SEMI HUMID,20-30,WINDY,6.6,0.500100315,13,3,2,2
CITRUS,DRY,SEMI HUMID,13-20,NORMAL,4.4,0.739890151,6,1,1,2
SUGARCANE,DRY,DESERT,13-20,NORMAL,10.54,0.372137409,10,1,1,4
MELON,HUMID,SEMI HUMID,40-50,NORMAL,6.42,0.329635203,2,3,1,2
BEAN,DRY,SEMI HUMID,40-50,SUNNY,10.05,0.415466237,15,1,4,2
POTATO,WET,SEMI ARID,13-20,SUNNY,5.87,0.870511985,12,2,4,3
SUGARCANE,HUMID,SEMI ARID,13-20,SUNNY,8.65,0.070231221,10,3,4,3
TOMATO,WET,SEMI HUMID,13-20,WINDY,3.34,0.827387053,1,2,2,2
BEAN,DRY,SEMI HUMID,40-50,NORMAL,8.55,0.033865718,15,1,1,2
CABBAGE,HUMID,SEMI HUMID,13-20,RAINY,0.1,0.524687746,14,3,3,2
RICE,HUMID,SEMI ARID,30-40,RAINY,5.5,0.999075339,9,3,3,3
CITRUS,HUMID,DESERT,13-20,WINDY,5.2,0.579985408,6,3,2,4
CABBAGE,HUMID,SEMI ARID,13-20,SUNNY,5.2,0.362849692,14,3,4,3
ONION,DRY,SEMI HUMID,20-30,NORMAL,4.375,0.140862933,4,1,1,2
MUSTARD,WET,HUMID,20-30,WINDY,3.5,0.746605648,11,2,2,1
CABBAGE,HUMID,SEMI ARID,13-20,WINDY,4.7,0.979869215,14,3,2,3
COTTON,WET,SEMI HUMID,30-40,SUNNY,7.04,0.809622956,5,2,4,2
MAIZE,WET,SEMI ARID,30-40,RAINY,0.3,0.628297826,7,2,3,3
MAIZE,WET,HUMID,30-40,RAINY,0.1,0.144403469,7,2,3,1
MUSTARD,DRY,SEMI HUMID,40-50,NORMAL,7.86,0.185673474,11,1,1,2
BEAN,HUMID,DESERT,20-30,NORMAL,6.2,0.194401612,15,3,1,4
POTATO,HUMID,DESERT,30-40,SUNNY,10.2,0.292271017,12,3,4,4
BEAN,DRY,SEMI HUMID,30-40,NORMAL,7.6,0.837013254,15,1,1,2
WHEAT,HUMID,SEMI HUMID,30-40,RAINY,0.8,0.871041258,8,3,3,2
MELON,HUMID,SEMI ARID,13-20,NORMAL,4.14,0.805362147,2,3,1,3
ONION,HUMID,DESERT,30-40,SUNNY,5.25,0.613024712,4,3,4,4
MUSTARD,WET,HUMID,20-30,RAINY,0.1,0.357474593,11,2,3,1
SUGARCANE,WET,SEMI HUMID,30-40,WINDY,7.06,0.950850876,10,2,2,2
ONION,WET,SEMI HUMID,30-40,SUNNY,3.625,0.31003834,4,2,4,2
WHEAT,HUMID,SEMI ARID,13-20,SUNNY,8.65,0.977326392,8,3,4,3
ONION,DRY,SEMI HUMID,30-40,NORMAL,5.375,0.156961739,4,1,1,2
COTTON,HUMID,SEMI HUMID,40-50,WINDY,8.5,0.477147095,5,3,2,2
BEAN,WET,DESERT,30-40,WINDY,7.2,0.923819956,15,2,2,4
SOYABEAN,DRY,SEMI ARID,13-20,WINDY,8.9,0.406202514,3,1,2,3
WHEAT,DRY,SEMI HUMID,20-30,SUNNY,11,0.432447847,8,1,4,2
RICE,DRY,SEMI HUMID,20-30,RAINY,6.5,0.065827895,9,1,3,2
BANANA,HUMID,SEMI ARID,20-30,SUNNY,8.42,0.516725041,13,3,4,3
SUGARCANE,WET,SEMI ARID,40-50,WINDY,9.34,0.565445606,10,2,2,3
WHEAT,DRY,SEMI ARID,40-50,SUNNY,14,0.32508432,8,1,4,3
ONION,HUMID,DESERT,40-50,WINDY,7.75,0.010943145,4,3,2,4
POTATO,WET,SEMI HUMID,30-40,WINDY,6.54,0.74905416,12,2,2,2
BANANA,DRY,SEMI HUMID,30-40,NORMAL,8.95,0.72219722,13,1,1,2
BANANA,WET,SEMI ARID,13-20,NORMAL,4.37,0.550885559,13,2,1,3
CITRUS,HUMID,HUMID,30-40,RAINY,0.2,0.33295408,6,3,3,1
COTTON,WET,HUMID,40-50,NORMAL,5.15,0.731297913,5,2,1,1
RICE,WET,SEMI ARID,40-50,RAINY,3.5,0.049668601,9,2,3,3
RICE,DRY,DESERT,40-50,RAINY,12,0.006293718,9,1,3,4
BANANA,WET,SEMI HUMID,13-20,RAINY,0.1,0.028258607,13,2,3,2
BANANA,DRY,SEMI ARID,40-50,SUNNY,12.4,0.078563667,13,1,4,3
BANANA,HUMID,HUMID,13-20,WINDY,4.65,0.538528239,13,3,2,1
COTTON,WET,DESERT,40-50,SUNNY,9.65,0.820374072,5,2,4,4
SOYABEAN,WET,SEMI ARID,30-40,RAINY,0.3,0.767421878,3,2,3,3
MUSTARD,WET,SEMI ARID,20-30,RAINY,0.2,0.107616996,11,2,3,3
MAIZE,DRY,HUMID,40-50,NORMAL,6.96,0.528538978,7,1,1,1
CABBAGE,DRY,SEMI HUMID,30-40,NORMAL,6.2,0.668522556,14,1,1,2
CABBAGE,HUMID,DESERT,20-30,NORMAL,5.3,0.557773648,14,3,1,4
BEAN,WET,SEMI ARID,13-20,SUNNY,5,0.273177076,15,2,4,3
COTTON,HUMID,DESERT,30-40,NORMAL,8.7,0.644443743,5,3,1,4
CITRUS,HUMID,SEMI ARID,30-40,WINDY,6.5,0.077793817,6,3,2,3
BEAN,DRY,HUMID,20-30,RAINY,0.2,0.940320677,15,1,3,1
ONION,WET,HUMID,30-40,NORMAL,3.625,0.431661788,4,2,1,1
MAIZE,DRY,SEMI ARID,13-20,NORMAL,5.58,0.917301039,7,1,1,3
POTATO,HUMID,SEMI HUMID,20-30,NORMAL,5.5,0.7656239,12,3,1,2
MELON,WET,HUMID,40-50,WINDY,5.5,0.77182386,2,2,2,1
WHEAT,DRY,HUMID,13-20,RAINY,0.5,0.75960366,8,1,3,1
CABBAGE,DRY,SEMI ARID,13-20,RAINY,0.5,0.98040513,14,1,3,3
RICE,WET,SEMI HUMID,13-20,NORMAL,6.5,0.035266853,9,2,1,2
MAIZE,WET,DESERT,30-40,WINDY,6.6,0.649689222,7,2,2,4
ONION,DRY,SEMI ARID,30-40,SUNNY,7.625,0.022415035,4,1,4,3
CITRUS,HUMID,SEMI ARID,40-50,NORMAL,6.6,0.475738302,6,3,1,3
POTATO,WET,HUMID,30-40,NORMAL,4.1,0.175367232,12,2,1,1
SOYABEAN,DRY,HUMID,20-30,RAINY,0.2,0.213761661,3,1,3,1
MELON,HUMID,SEMI HUMID,40-50,RAINY,0.5,0.891799519,2,3,3,2
SUGARCANE,HUMID,HUMID,40-50,WINDY,8.32,0.886410534,10,3,2,1
BEAN,WET,SEMI ARID,13-20,RAINY,0.1,0.515331624,15,2,3,3
BEAN,DRY,HUMID,30-40,NORMAL,6.5,0.415955815,15,1,1,1
MELON,WET,HUMID,20-30,SUNNY,4,0.359656027,2,2,4,1
MELON,HUMID,DESERT,20-30,WINDY,6.68,0.28570441,2,3,2,4
BANANA,HUMID,HUMID,13-20,NORMAL,3.65,0.495373008,13,3,1,1
MAIZE,HUMID,SEMI HUMID,40-50,NORMAL,6.42,0.055811086,7,3,1,2
MUSTARD,DRY,SEMI ARID,20-30,SUNNY,8.08,0.605261886,11,1,4,3
BEAN,WET,HUMID,20-30,RAINY,0.1,0.49196672,15,2,3,1
CITRUS,HUMID,HUMID,20-30,RAINY,0.1,0.087512175,6,3,3,1
MUSTARD,DRY,DESERT,13-20,NORMAL,6.12,0.406812444,11,1,1,4
CABBAGE,DRY,SEMI HUMID,13-20,WINDY,5.5,0.641890874,14,1,2,2
POTATO,HUMID,SEMI ARID,13-20,WINDY,6.62,0.650012393,12,3,2,3
COTTON,HUMID,SEMI HUMID,13-20,RAINY,0.1,0.956202996,5,3,3,2
SOYABEAN,HUMID,DESERT,30-40,NORMAL,7.4,0.800860671,3,3,1,4
COTTON,HUMID,SEMI ARID,40-50,RAINY,0.92,0.92168297,5,3,3,3
ONION,HUMID,HUMID,30-40,RAINY,5.25,0.17689662,4,3,3,1
MAIZE,WET,SEMI HUMID,20-30,SUNNY,4.84,0.999339015,7,2,4,2
BANANA,HUMID,DESERT,13-20,SUNNY,8.2,0.911494621,13,3,4,4
RICE,HUMID,HUMID,30-40,RAINY,1,0.516985841,9,3,3,1
BEAN,DRY,SEMI HUMID,30-40,SUNNY,9,0.631018764,15,1,4,2
MAIZE,WET,SEMI HUMID,40-50,SUNNY,6.84,0.119638058,7,2,4,2
RICE,WET,DESERT,40-50,NORMAL,13,0.455143465,9,2,1,4
POTATO,WET,SEMI HUMID,13-20,RAINY,0.1,0.3468216,12,2,3,2
POTATO,DRY,SEMI HUMID,20-30,WINDY,8.75,0.78756514,12,1,2,2
BEAN,DRY,SEMI HUMID,40-50,RAINY,0.55,0.821134665,15,1,3,2
SUGARCANE,DRY,SEMI ARID,20-30,NORMAL,10.7,0.59445597,10,1,1,3
RICE,WET,SEMI HUMID,20-30,RAINY,0.8,0.115100864,9,2,3,2
ONION,WET,HUMID,13-20,SUNNY,1.625,0.19586195,4,2,4,1
ONION,HUMID,HUMID,40-50,RAINY,6.25,0.484779327,4,3,3,1
ONION,WET,HUMID,30-40,SUNNY,5.125,0.157751665,4,2,4,1
MAIZE,WET,SEMI ARID,20-30,RAINY,0.2,0.746770961,7,2,3,3
MELON,HUMID,SEMI HUMID,13-20,SUNNY,4.92,0.766290845,2,3,4,2
POTATO,HUMID,DESERT,20-30,SUNNY,9.2,0.379017927,12,3,4,4
ONION,HUMID,DESERT,13-20,RAINY,4.25,0.622733419,4,3,3,4
MUSTARD,DRY,DESERT,40-50,RAINY,1.12,0.931851081,11,1,3,4
BANANA,HUMID,HUMID,40-50,SUNNY,6.65,0.430294059,13,3,4,1
MUSTARD,WET,DESERT,20-30,NORMAL,4.6,0.287749091,11,2,1,4
CITRUS,WET,SEMI HUMID,30-40,SUNNY,5.66,0.178730861,6,2,4,2
MAIZE,DRY,DESERT,40-50,SUNNY,10.62,0.319433093,7,1,4,4
TOMATO,DRY,SEMI HUMID,40-50,SUNNY,9.36,0.696047996,1,1,4,2
COTTON,WET,SEMI HUMID,13-20,SUNNY,4.85,0.190284376,5,2,4,2
BEAN,WET,DESERT,40-50,WINDY,8.3,0.253503929,15,2,2,4
MUSTARD,HUMID,SEMI HUMID,40-50,NORMAL,6.42,0.891653172,11,3,1,2
CABBAGE,DRY,HUMID,20-30,NORMAL,4.5,0.97912601,14,1,1,1
SUGARCANE,WET,HUMID,30-40,WINDY,5.48,0.385941914,10,2,2,1
CABBAGE,DRY,HUMID,20-30,RAINY,0.2,0.837850619,14,1,3,1
BEAN,HUMID,HUMID,20-30,NORMAL,3.7,0.502407021,15,3,1,1
MAIZE,HUMID,HUMID,30-40,SUNNY,6.02,0.433214853,7,3,4,1
MAIZE,DRY,SEMI HUMID,30-40,WINDY,7.86,0.468713143,7,1,2,2
SUGARCANE,WET,SEMI HUMID,20-30,RAINY,0.3,0.410314132,10,2,3,2
WHEAT,HUMID,SEMI ARID,13-20,RAINY,0.8,0.876686593,8,3,3,3
MUSTARD,WET,SEMI HUMID,30-40,NORMAL,4.34,0.05302494,11,2,1,2
MUSTARD,DRY,DESERT,30-40,RAINY,0.12,0.832062583,11,1,3,4
SOYABEAN,DRY,SEMI ARID,30-40,WINDY,10.8,0.762183656,3,1,2,3
CITRUS,HUMID,SEMI HUMID,20-30,RAINY,0.2,0.271852746,6,3,3,2
RICE,WET,HUMID,13-20,WINDY,5,0.626949176,9,2,2,1
SOYABEAN,WET,HUMID,40-50,SUNNY,6.1,0.336620448,3,2,4,1
RICE,DRY,SEMI ARID,20-30,NORMAL,16.5,0.961979552,9,1,1,3
WHEAT,DRY,HUMID,20-30,SUNNY,9.32,0.779431791,8,1,4,1
ONION,WET,DESERT,20-30,RAINY,0.1,0.389817882,4,2,3,4
COTTON,DRY,DESERT,20-30,RAINY,0.85,0.090061764,5,1,3,4
COTTON,HUMID,DESERT,20-30,NORMAL,7.695,0.659653248,5,3,1,4
ONION,DRY,SEMI ARID,30-40,NORMAL,6.125,0.758847301,4,1,1,3
SOYABEAN,HUMID,DESERT,30-40,RAINY,0.8,0.217626316,3,3,3,4
CABBAGE,HUMID,DESERT,30-40,RAINY,0.5,0.898839234,14,3,3,4
MUSTARD,DRY,SEMI ARID,40-50,SUNNY,10.08,0.916340902,11,1,4,3
RICE,HUMID,SEMI ARID,20-30,WINDY,13.5,0.574952089,9,3,2,3
TOMATO,DRY,SEMI ARID,40-50,NORMAL,8.58,0.873198306,1,1,1,3
MELON,HUMID,HUMID,40-50,RAINY,0.3,0.675492747,2,3,3,1
SOYABEAN,DRY,DESERT,13-20,RAINY,0.2,0.235849367,3,1,3,4
MELON,WET,DESERT,40-50,SUNNY,8.1,0.897803342,2,2,4,4
SUGARCANE,HUMID,DESERT,30-40,RAINY,2.25,0.342415287,10,3,3,4
CABBAGE,WET,HUMID,30-40,SUNNY,4.83,0.991174106,14,2,4,1
COTTON,DRY,HUMID,20-30,RAINY,0.3,0.906571177,5,1,3,1
WHEAT,DRY,SEMI ARID,13-20,RAINY,1.6,0.08946204,8,1,3,3
BANANA,DRY,SEMI ARID,20-30,SUNNY,10.4,0.391135172,13,1,4,3
BANANA,WET,DESERT,40-50,RAINY,0.15,0.520573332,13,2,3,4
SOYABEAN,DRY,DESERT,30-40,SUNNY,10.3,0.083947958,3,1,4,4
COTTON,WET,HUMID,30-40,SUNNY,5.6,0.781572558,5,2,4,1
SOYABEAN,WET,DESERT,20-30,SUNNY,6.6,0.747553179,3,2,4,4
MUSTARD,WET,DESERT,13-20,WINDY,4.6,0.042232805,11,2,2,4
WHEAT,WET,HUMID,13-20,WINDY,3.48,0.866271854,8,2,2,1
COTTON,WET,SEMI ARID,30-40,RAINY,0.3,0.792000393,5,2,3,3
SUGARCANE,DRY,HUMID,30-40,RAINY,0.85,0.615117952,10,1,3,1
WHEAT,HUMID,SEMI HUMID,13-20,NORMAL,5.88,0.382199965,8,3,1,2
ONION,HUMID,DESERT,40-50,SUNNY,6.25,0.871771092,4,3,4,4
SUGARCANE,WET,SEMI ARID,40-50,SUNNY,9.84,0.552872184,10,2,4,3
CITRUS,WET,DESERT,20-30,SUNNY,5.8,0.230732626,6,2,4,4
BANANA,DRY,SEMI HUMID,20-30,SUNNY,9.45,0.377272911,13,1,4,2
MAIZE,DRY,SEMI ARID,30-40,NORMAL,7.58,0.395728546,7,1,1,3
COTTON,WET,DESERT,13-20,SUNNY,6.65,0.122590549,5,2,4,4
RICE,HUMID,HUMID,30-40,SUNNY,10.5,0.244587251,9,3,4,1
BANANA,WET,DESERT,13-20,WINDY,6.15,0.076867109,13,2,2,4
WHEAT,WET,SEMI ARID,40-50,RAINY,0.34,0.252390335,8,2,3,3
TOMATO,DRY,HUMID,30-40,WINDY,6.96,0.077399365,1,1,2,1
TOMATO,WET,HUMID,20-30,RAINY,0.1,0.769757876,1,2,3,1
MELON,HUMID,DESERT,13-20,NORMAL,4.68,0.848265133,2,3,1,4
TOMATO,WET,SEMI HUMID,20-30,SUNNY,4.84,0.012003467,1,2,4,2
